"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
252-2-000011,3.1 기념탑 주차장,공영,노외,,강원특별자치도 강릉시 저동 144-3,137,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.791779,128.8960708,2023-08-28
252-2-000012,경포 번영회 주차장,공영,노외,,강원특별자치도 강릉시 안현동 868-4,145,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.80209586,128.903524,2023-08-28
252-2-000013,경포대 초등학교 옆 공한지 주차장,공영,노외,,강원특별자치도 강릉시 안현동 859,50,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.80436261,128.9017799,2023-08-28
252-2-000014,경포대광장 주차장(충혼탑),공영,노외,,강원특별자치도 강릉시 저동 126-1,98,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.795805,128.896858,2023-08-28
252-2-000015,선교장 노외주차장,공영,노외,,강원특별자치도 강릉시 운정동 472-18,90,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.784995,128.884631,2023-08-28
252-2-000016,오죽헌시립박물관 뒷문 주차장,공영,노외,,강원특별자치도 강릉시 죽헌동 179-1,8,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.778914,128.876048,2023-08-28
252-2-000017,종합운동장 주차장,공영,노외,,강원특별자치도 강릉시 교동 2-10,490,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.77370501,128.8978333,2023-08-28
252-2-000018,강릉빙상경기장 주차장,공영,노외,,강원특별자치도 강릉시 교동 2-21,176,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.77372394,128.8925583,2023-08-28
252-2-000019,강릉인라인스케이팅장 주차장,공영,노외,,강원특별자치도 강릉시 교동 377,95,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7728193,128.8937024,2023-08-28
252-2-000020,관동교회 근처주차장,공영,노외,,강원특별자치도 강릉시 교동 987-7,6,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.756005,128.885921,2023-08-28
252-2-000021,관동중 앞,공영,노외,,강원특별자치도 강릉시 교동 1429-6,8,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.75612756,128.8803618,2023-08-28
252-2-000022,구 터미널주차장,공영,노외,,강원특별자치도 강릉시 교동 156-35,262,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.76084609,128.8976357,2023-08-28
252-2-000023,기쁨교회부지 컬링경기장,공영,노외,,강원특별자치도 강릉시 교동 622,79,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7750968,128.8912079,2023-08-28
252-2-000024,내곡교사거리 근처 주차장,공영,노외,,강원특별자치도 강릉시 내곡동 51-15,6,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.74625021,128.8884332,2023-08-28
252-2-000025,내곡동 현대A 앞 둔치주차장,공영,노외,,강원특별자치도 강릉시 내곡동 31,51,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.748273,128.891116,2023-08-28
252-2-000026,도시계획도로 임시 주차장1,공영,노외,,강원특별자치도 강릉시 내곡동 67-3,4,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.746424,128.8869094,2023-08-28
252-2-000027,도시계획도로 임시 주차장2,공영,노외,,강원특별자치도 강릉시 내곡동 51-48,2,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.746447,128.888988,2023-08-28
252-2-000028,무지개아파트 근처 주차장,공영,노외,,강원특별자치도 강릉시 내곡동 71-3,5,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.746259,128.890603,2023-08-28
252-2-000029,사천항 공영주차장 1,공영,노외,,강원특별자치도 강릉시 사천면 사천진리 86-141,100,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.83468527,128.8748635,2023-08-28
252-2-000030,사천항 공영주차장 2(임시주차장),공영,노외,,강원특별자치도 강릉시 사천면 사천진리 86-185,60,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.83594791,128.8746885,2023-08-28
252-2-000031,사천 동해종합마트 근처,공영,노외,,강원특별자치도 강릉시 사천면 사천진리 29-12,10,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.838625,128.474734,2023-08-28
252-2-000032,사천진 보건진료소 근처주차장,공영,노외,,강원특별자치도 강릉시 사천면 사천진리 86-76,62,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.83712123,128.8746899,2023-08-28
252-2-000033,사천진리 해변길 주차장,공영,노외,,강원특별자치도 강릉시 사천면 사천진리 2-93,11,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.83753965,128.8771897,2023-08-28
252-2-000034,소라B단지아파트 인근 주차장,공영,노외,,강원특별자치도 강릉시 송정동 212,5,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.776474,128.932176,2023-08-28
252-2-000035,안목사거리 근처 주차장,공영,노외,,강원특별자치도 강릉시 견소동 268-29,20,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.773426,128.945432,2023-08-28
252-2-000036,안목커피거리 및 안목항 주차장,공영,노외,,강원특별자치도 강릉시 견소동 286-4,551,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.77112823,128.950361,2023-08-28
252-2-000037,동덕 주차장,공영,노외,,강원특별자치도 강릉시 연곡면 동덕리 143-3,22,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.85808493,128.8530212,2023-08-28
252-2-000038,연곡면 주민센터앞 게이트볼장 부지,공영,노외,,강원특별자치도 강릉시 연곡면 방내리 31-1,42,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.8600387,128.835153,2023-08-28
252-2-000039,연곡2단지부영 근처 주차장,공영,노외,,강원특별자치도 강릉시 연곡면 영진리 357-125,8,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.87042593,128.8432604,2023-08-28
252-2-000040,옥계성당 근처 주차장,공영,노외,,강원특별자치도 강릉시 옥계면 현내리 339-5,12,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.611305,129.0351505,2023-08-28
252-2-000041,고수부지공영주차장(새벽시장),공영,노외,,강원특별자치도 강릉시 옥천동 25-2,256,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7561218,128.9025139,2023-08-28
252-2-000042,도시계획도로 임시 주차장3,공영,노외,,강원특별자치도 강릉시 주문진읍 교항리 292,10,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.88763408,128.8235372,2023-08-28
252-2-000043,소돌 소원(아들)바위 주차장,공영,노외,,강원특별자치도 강릉시 주문진읍 주문리 791-42,116,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.90475152,128.8296937,2023-08-28
252-2-000044,신리천 둔치 주차장,공영,노외,,강원특별자치도 강릉시 주문진읍 교항리 1252-14,144,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.88489631,128.8258758,2023-08-28
252-2-000045,주문진 터미널 오거리주차장,공영,노외,,강원특별자치도 강릉시 주문진읍 교항리 328-2,45,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.88380611,128.8241103,2023-08-28
252-2-000046,주문7리 마을회관 근처주차장,공영,노외,,강원특별자치도 강릉시 주문진읍 주문리 122-13,10,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.8985387,128.8316935,2023-08-28
252-2-000047,주문진 주차장,공영,노외,,강원특별자치도 강릉시 주문진읍 교항리 130-11,47,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.88642945,128.8255437,2023-08-28
252-2-000048,주문진해수욕장 주차장,공영,노외,,강원특별자치도 강릉시 주문진읍 향호리 8-17,560,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.91013153,128.8176761,2023-08-28
252-2-000049,중앙시장 제1공영주차장,공영,노외,,강원특별자치도 강릉시 성남동 85-2,375,1,미시행,평일+토,10:00,19:00,10:00,19:00,00:00,23:59,혼합,30,600,10,300,,,45000,카드+주차권,,강원특별자치도 강릉시청 교통과,033-640-5784,37.7519474,128.8968652,2023-08-28
252-2-000050,구)기상청주차장,공영,노외,,강원특별자치도 강릉시 용강동 63-2,61,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.75183721,128.8908508,2023-08-28
252-2-000051,구)산림청주차장,공영,노외,,강원특별자치도 강릉시 용강동 46-2,87,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.75317089,128.8894481,2023-08-28
252-2-000052,남대천둔치 공영주차장강릉교아래시립의료원앞,공영,노외,,강원특별자치도 강릉시 남문동 67,64,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7486957,128.8883153,2023-08-28
252-2-000053,명주동주차장,공영,노외,,강원특별자치도 강릉시 명주동 14,11,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7508648,128.8904111,2023-08-28
252-2-000054,성내동 광장 주차장,공영,노외,,강원특별자치도 강릉시 성남동 114-3,56,1,미시행,평일+토+공휴일,08:00,23:00,00:00,23:59,00:00,23:59,혼합,30,600,10,300,,,75000,현금+카드+주차권,,강원특별자치도 강릉시청 교통과,033-640-5624,37.75148168,128.894897,2023-08-28
252-2-000055,손병욱 베이커리 근처 주차장,공영,노외,,강원특별자치도 강릉시 임당동 48-3,20,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.75516362,128.8933018,2023-08-28
252-2-000056,중앙동주민센터주차장,공영,노외,,강원특별자치도 강릉시 임당동 37,22,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.75613178,128.8941268,2023-08-28
252-2-000057,강문해변 제1공영주차장,공영,노외,,강원특별자치도 강릉시 강문동 182-37,170,1,미시행,평일+토+공휴일,10:00,19:00,10:00,19:00,10:00,19:00,혼합,30,600,10,300,,,,,,강원특별자치도 강릉시청 교통과,033-640-5784,37.795405,128.918345,2023-08-28
252-2-000058,구포남시장주차장,공영,노외,,"강원특별자치도 강릉시 포남동 1153, 1153-2",175,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7647417,128.9040569,2023-08-28
252-2-000059,원규앤노블래스뒤,공영,노외,,강원특별자치도 강릉시 포남동 1278-17,28,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7692473,128.9159765,2023-08-28
252-2-000060,경찰서 뒤 주차장,공영,노외,,강원특별자치도 강릉시 포남동 1106,165,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.76946678,128.9057993,2023-08-28
252-2-000061,홍제동둔치주차장 고가도로아래⇔홍제내곡교 밑,공영,노외,,강원특별자치도 강릉시 홍제동 946-1,70,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7475158,128.8825563,2023-08-28
252-2-000062,(구)문화원 주차장,공영,노외,,강원특별자치도 강릉시 홍제동 15-3,14,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7545605,128.8896968,2023-08-28
252-2-000063,갈바리병원옆,공영,노외,,강원특별자치도 강릉시 홍제동 2-6,18,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.75607665,128.8900885,2023-08-28
252-2-000064,관광개발공사옆주차장,공영,노외,,강원특별자치도 강릉시 홍제동 262-1,153,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7539411,128.875742,2023-08-28
252-2-000065,구 농진청부지,공영,노외,,강원특별자치도 강릉시 홍제동 156,180,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.75358516,128.883097,2023-08-28
252-2-000066,구 중앙초교 담장옆,공영,노외,,강원특별자치도 강릉시 홍제동 66-1,10,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.75164785,128.8871394,2023-08-28
252-2-000067,구 도로관리사업소,공영,노외,,강원특별자치도 강릉시 홍제동 101,68,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.74848494,128.8829054,2023-08-28
252-2-000068,노인회관 앞,공영,노외,,강원특별자치도 강릉시 홍제동 77-5,6,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7503747,128.8823904,2023-08-28
252-2-000069,홍제동주민센터 건너편 주차장,공영,노외,,강원특별자치도 강릉시 홍제동 97-4,40,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7476456,128.8829185,2023-08-28
252-2-000070,홍제동소주차장 1,공영,노외,,강원특별자치도 강릉시 홍제동 26-8,4,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7545966,128.8860302,2023-08-28
252-2-000071,홍제동소주차장 2,공영,노외,,강원특별자치도 강릉시 홍제동 179-15,8,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7538904,128.8868713,2023-08-28
252-2-000072,홍제동소주차장 3,공영,노외,,강원특별자치도 강릉시 홍제동 201-1,4,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.755186,128.886184,2023-08-28
252-2-000073,홍제동소주차장 4,공영,노외,,강원특별자치도 강릉시 홍제동 211,4,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7554172,128.8846226,2023-08-28
252-2-000074,홍제동소주차장 5,공영,노외,강원특별자치도 강릉시 명주로59번길 18,강원특별자치도 강릉시 홍제동 209-4,4,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.75569767,128.8868254,2023-08-28
252-2-000075,홍제동소주차장 6,공영,노외,,강원특별자치도 강릉시 홍제동 207-10,3,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.75515093,128.8879177,2023-08-28
252-2-000076,홍제동소주차장 8,공영,노외,,강원특별자치도 강릉시 홍제동 215-9,6,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7558878,128.8862033,2023-08-28
252-2-000077,kbs부지 부차장,공영,노외,,강원특별자치도 강릉시 유천동 754,457,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7671165,128.852722,2023-08-28
252-2-000078,선교장 환승주차장,공영,노외,,강원특별자치도 강릉시 운정동 958-1,155,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.78561835,128.8853968,2023-08-28
252-2-000079,문화의길 공한지 주차장,공영,노외,,강원특별자치도 강릉시 임당동 84-1,13,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7549592,128.8950173,2023-08-28
252-2-000080,강남동 노가니길 공영주차장,공영,노외,,강원특별자치도 강릉시 노암동 305,37,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7549592,128.8950173,2023-08-28
252-2-000081,저동 473-1 공영주차장,공영,노외,,강원특별자치도 강릉시 저동 476-1,11,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.80532486,128.8930763,2023-08-28
252-2-000082,정동진리 50 공영주차장,공영,노외,,강원특별자치도 강릉시 강동면 정동진리 50,17,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.68473934,129.0397478,2023-08-28
252-2-000083,노암육교 옆 공영주차장,공영,노외,,강원특별자치도 강릉시 노암동 377-3,9,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.74367636,128.9006693,2023-08-28
252-2-000084,옛)노암고물상 부지 공영주차장,공영,노외,,강원특별자치도 강릉시 노암동 198-5,22,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.74786441,128.9056456,2023-08-28
252-2-000085,서부지구대 옆 공영주차장,공영,노외,,강원특별자치도 강릉시 교동 1814-6,22,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.7694723,128.8754966,2023-08-28
252-2-000086,대성카센터 옆 공영주차장,공영,노외,,강원특별자치도 강릉시 내곡동 441-1,7,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.74515013,128.8869525,2023-08-28
252-2-000087,홍제동 119-19 공영주차장,공영,노외,,강원특별자치도 강릉시 홍제동 119-19,7,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.75206759,128.8843145,2023-08-28
252-2-000088,홍제동 145-2 공영주차장,공영,노외,,강원특별자치도 강릉시 홍제동 145-2,25,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.75238234,128.8852917,2023-08-28
252-2-000089,안목커피거리 정류장 옆 공영주차장,공영,노외,,강원특별자치도 강릉시 견소동 190-79,71,1,미시행,평일+토+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강원특별자치도 강릉시청 교통과,033-640-5624,37.77265177,128.9446257,2023-08-28
